AnimalID,SireID,DamID,Generation,FamilyID,TankID,SexID,Birthday,S2Date,M1Date,M1BW,M2Date,M2Age1,M2Age2,M2BW,M2BL
OXHMB17G010A368,OXHMB16G000A694,MRTZD16G000F046,G01,OXHMB17G0100921,P11,Male,4/16/2117,5/6/2117,7/7/2117,16.8,9/28/2117,165,145,459,115
OXHMB17G010A369,OXHMB16G000C364,OXHMB16G00X751,G01,OXHMB17G0100411,P11,Male,4/14/2117,5/1/2117,7/6/2117,16,9/28/2117,167,150,497,120
OXHMB17G010A370,OXHMB16G000A784,OXHMB16G000B021,G01,OXHMB17G0100691,P11,Male,4/19/2117,5/9/2117,7/8/2117,18.4,9/28/2117,162,142,409,112
OXHMB17G010A371,OXHMB16G000C514,OXHMB16G00X743,G01,OXHMB17G0100421,P11,Male,4/14/2117,5/4/2117,7/7/2117,16.2,9/28/2117,167,147,395,113
OXHMB17G010A372,OXHMB16G000A783,OXHMB16G00X558,G01,OXHMB17G0100281,P11,Male,4/13/2117,5/1/2117,7/6/2117,15,9/28/2117,168,150,541,122
OXHMB17G0104606,OXHMB16G000F713,OXHMB16G000B218,G01,OXHMB17G0100451,P11,Male,4/18/2117,5/8/2117,7/7/2117,17.3,9/28/2117,163,143,334,107
OXHMB17G010A373,OXHMB16G000A414,OXHMB16G000F623,G01,OXHMB17G0100071,P11,Male,4/23/2117,5/15/2117,7/10/2117,18.2,9/28/2117,158,136,407,113
OXHMB17G0106068,OXHMB16G000C751,OXHMB16G000B166,G01,OXHMB17G0100562,P11,Male,4/25/2117,5/18/2117,7/11/2117,14.3,9/28/2117,156,133,341,108
OXHMB17G0104481,OXHMB16G000A805,OXHMB16G000F485,G01,OXHMB17G0100441,P11,Male,4/15/2117,5/6/2117,7/7/2117,18.8,9/28/2117,166,145,231,92
OXHMB17G0101637,OXHMB16G000C612,OXHMB16G000F455,G01,OXHMB17G0100231,P11,Male,4/12/2117,5/1/2117,7/6/2117,17,9/28/2117,169,150,310,93
OXHMB17G010A374,OXHMB16G000A300,MRTZD16G000F021,G01,OXHMB17G0100871,P11,Male,4/12/2117,5/1/2117,7/6/2117,18.2,9/28/2117,169,150,440,113
OXHMB17G0101039,OXHMB16G000C601,OXHMB16G000E059,G01,OXHMB17G0100151,P11,Male,4/13/2117,5/2/2117,7/6/2117,16.3,9/28/2117,168,149,470,117
OXHMB17G0103945,OXHMB16G000C364,OXHMB16G00X751,G01,OXHMB17G0100411,P11,Male,4/14/2117,5/1/2117,7/6/2117,16,9/28/2117,167,150,231,95
OXHMB17G0101355,OXHMB16G000C625,OXHMB16G000F625,G01,OXHMB17G0100201,P11,Male,4/21/2117,5/14/2117,7/9/2117,15.6,9/28/2117,160,137,280,103
OXHMB17G010A375,OXHMB16G000C612,OXHMB16G000F455,G01,OXHMB17G0100231,P11,Male,4/12/2117,5/1/2117,7/6/2117,17,9/28/2117,169,150,544,120
OXHMB17G010A376,MRTZD16G000M026,OXHMB16G00X106,G01,OXHMB17G0100781,P11,Male,4/15/2117,5/7/2117,7/7/2117,15.7,9/28/2117,166,144,380,113
OXHMB17G0108677,MRTZD16G000M046,OXHMB16G00X093,G01,OXHMB17G0100821,P11,Male,4/13/2117,5/1/2117,7/6/2117,15.3,9/28/2117,168,150,338,106
OXHMB17G010A377,OXHMB16G000C849,MRTZD16G000F011,G01,OXHMB17G0100851,P11,Male,4/18/2117,5/9/2117,7/8/2117,16.4,9/28/2117,163,142,565,125
OXHMB17G0105658,OXHMB16G000F063,OXHMB16G000F490,G01,OXHMB17G0100521,P11,Male,4/21/2117,5/11/2117,7/9/2117,14.9,9/28/2117,160,140,328,107
OXHMB17G0100699,OXHMB16G000A429,OXHMB16G000B101,G01,OXHMB17G0100111,P11,Male,4/27/2117,5/20/2117,7/11/2117,15.5,9/28/2117,154,131,278,100
OXHMB17G0103850,OXHMB16G000F052,OXHMB16G000E660,G01,OXHMB17G0100391,P11,Male,4/22/2117,5/15/2117,7/10/2117,14.3,9/28/2117,159,136,325,107
OXHMB17G010A378,OXHMB16G000F063,OXHMB16G000E752,G01,OXHMB17G0100522,P11,Male,4/21/2117,5/11/2117,7/9/2117,14.4,9/28/2117,160,140,397,110
OXHMB17G0107278,OXHMB16G000A784,OXHMB16G000B021,G01,OXHMB17G0100691,P11,Male,4/19/2117,5/9/2117,7/8/2117,18.4,9/28/2117,162,142,360,107
OXHMB17G010A379,OXHMB16G000C751,OXHMB16G000E570,G01,OXHMB17G0100561,P11,Male,4/23/2117,5/15/2117,7/10/2117,13.1,9/28/2117,158,136,394,113
OXHMB17G010A380,OXHMB16G000C431,OXHMB16G000F584,G01,OXHMB17G0100361,P11,Male,4/24/2117,5/16/2117,7/6/2117,12.7,9/28/2117,157,135,382,110
OXHMB17G010A381,OXHMB16G000C612,OXHMB16G000F455,G01,OXHMB17G0100231,P11,Male,4/12/2117,5/1/2117,7/6/2117,17,9/28/2117,169,150,641,124
OXHMB17G0103217,OXHMB16G000A728,OXHMB16G000E871,G01,OXHMB17G0100331,P11,Male,4/23/2117,5/14/2117,7/9/2117,14.4,9/28/2117,158,137,490,118
OXHMB17G010A382,OXHMB16G000F713,OXHMB16G000B218,G01,OXHMB17G0100451,P11,Male,4/18/2117,5/8/2117,7/7/2117,17.3,9/28/2117,163,143,405,110
OXHMB17G010A383,OXHMB16G000A116,OXHMB16G000E255,G01,OXHMB17G0100302,P11,Male,4/24/2117,5/18/2117,7/11/2117,14.2,9/28/2117,157,133,455,117
OXHMB17G010A384,OXHMB16G000F063,OXHMB16G000F490,G01,OXHMB17G0100521,P11,Male,4/21/2117,5/11/2117,7/9/2117,14.9,9/28/2117,160,140,496,121
OXHMB17G010A385,OXHMB16G000C842,OXHMB16G000E671,G01,OXHMB17G0100641,P11,Male,4/23/2117,5/13/2117,7/9/2117,17.2,9/28/2117,158,138,484,117
OXHMB17G010A386,OXHMB16G000F052,OXHMB16G000E660,G01,OXHMB17G0100391,P11,Male,4/22/2117,5/15/2117,7/10/2117,14.3,9/28/2117,159,136,470,113
OXHMB17G0100357,OXHMB16G000A414,OXHMB16G000F623,G01,OXHMB17G0100071,P11,Male,4/23/2117,5/15/2117,7/10/2117,18.2,9/28/2117,158,136,346,103
OXHMB17G0102648,OXHMB16G000A116,OXHMB16G000E255,G01,OXHMB17G0100302,P11,Male,4/24/2117,5/18/2117,7/11/2117,14.2,9/28/2117,157,133,276,100
OXHMB17G010A387,OXHMB16G000C011,OXHMB16G000B151,G01,OXHMB17G0100721,P11,Male,4/13/2117,5/2/2117,7/6/2117,16.5,9/28/2117,168,149,402,111
OXHMB17G0000842,MRTZD16B000M009,MRTZD16B000F009,G01,OXHMB17G0001091,P11,Male,5/11/2117,5/31/2117,7/14/2117,11,9/28/2117,140,120,290,104
OXHMB17G010A388,OXHMB16G000C842,OXHMB16G000E671,G01,OXHMB17G0100641,P11,Male,4/23/2117,5/13/2117,7/9/2117,17.2,9/28/2117,158,138,509,122
OXHMB17G010A389,OXHMB16G000A429,OXHMB16G000B101,G01,OXHMB17G0100111,P11,Male,4/27/2117,5/20/2117,7/11/2117,15.5,9/28/2117,154,131,396,110
OXHMB17G0106069,OXHMB16G000C751,OXHMB16G000B166,G01,OXHMB17G0100562,P11,Male,4/25/2117,5/18/2117,7/11/2117,14.3,9/28/2117,156,133,417,114
OXHMB17G0103946,OXHMB16G000C364,OXHMB16G00X751,G01,OXHMB17G0100411,P11,Male,4/14/2117,5/1/2117,7/6/2117,16,9/28/2117,167,150,312,92
OXHMB17G0108397,MRTZD16G000M032,OXHMB16G000B293,G01,OXHMB17G0100792,P11,Male,4/25/2117,5/16/2117,7/6/2117,10.7,9/28/2117,156,135,333,106
OXHMB17G010A390,OXHMB16G000C849,MRTZD16G000F011,G01,OXHMB17G0100851,P11,Male,4/18/2117,5/9/2117,7/8/2117,16.4,9/28/2117,163,142,580,123
OXHMB17G0110606,MRTZD16G000M081,MRTZD16G000F081,G01,OXHMB17G0100991,P11,Male,4/20/2117,5/9/2117,7/8/2117,14.5,9/28/2117,161,142,343,106
OXHMB17G0102649,OXHMB16G000A116,OXHMB16G000E255,G01,OXHMB17G0100302,P11,Male,4/24/2117,5/18/2117,7/11/2117,14.2,9/28/2117,157,133,319,98
OXHMB17G010A391,OXHMB16G000C612,OXHMB16G000B679,G01,OXHMB17G0100232,P11,Male,4/14/2117,5/2/2117,7/6/2117,19.7,9/28/2117,167,149,457,115
OXHMB17G010A392,OXHMB16G000A753,OXHMB16G000B286,G01,OXHMB17G0100251,P11,Male,4/21/2117,5/13/2117,7/9/2117,17.7,9/28/2117,160,138,414,115
OXHMB17G0104163,OXHMB16G000C514,OXHMB16G00X743,G01,OXHMB17G0100421,P11,Male,4/14/2117,5/4/2117,7/7/2117,16.2,9/28/2117,167,147,343,110
OXHMB17G0103947,OXHMB16G000C364,OXHMB16G00X751,G01,OXHMB17G0100411,P11,Male,4/14/2117,5/1/2117,7/6/2117,16,9/28/2117,167,150,243,93
OXHMB17G010A393,OXHMB16G000A488,OXHMB16G000B612,G01,OXHMB17G0100471,P11,Male,4/25/2117,5/16/2117,7/10/2117,14.6,9/28/2117,156,135,382,111
OXHMB17G0105030,OXHMB16G000A488,OXHMB16G000B612,G01,OXHMB17G0100471,P11,Male,4/25/2117,5/16/2117,7/10/2117,14.6,9/28/2117,156,135,346,108
OXHMB17G0109240,OXHMB16G000A300,MRTZD16G000F021,G01,OXHMB17G0100871,P11,Male,4/12/2117,5/1/2117,7/6/2117,18.2,9/28/2117,169,150,252,89
OXHMB17G010A394,OXHMB16G000F176,OXHMB16G000B718,G01,OXHMB17G0100382,P11,Male,4/15/2117,5/6/2117,7/7/2117,20,9/28/2117,166,145,414,113
OXHMB17G0103531,OXHMB16G000C431,OXHMB16G000F584,G01,OXHMB17G0100361,P11,Male,4/24/2117,5/16/2117,7/6/2117,12.7,9/28/2117,157,135,334,105
OXHMB17G0107081,OXHMB16G000C863,OXHMB16G000B274,G01,OXHMB17G0100661,P11,Male,4/24/2117,5/15/2117,7/10/2117,15.2,9/28/2117,157,136,276,101
OXHMB17G0104712,OXHMB16G000F713,OXHMB16G000F397,G01,OXHMB17G0100452,P11,Male,4/22/2117,5/15/2117,7/10/2117,14.8,9/28/2117,159,136,362,108
OXHMB17G0000425,MRTZD16B000M005,MRTZD16B000F005,G01,OXHMB17G0001051,P11,Male,5/10/2117,5/30/2117,7/14/2117,8,9/28/2117,141,121,286,101
OXHMB17G010A395,OXHMB16G000C124,OXHMB16G000F498,G01,OXHMB17G0100271,P11,Male,5/6/2117,5/28/2117,7/13/2117,9.9,9/28/2117,145,123,418,113
OXHMB17G0104713,OXHMB16G000F713,OXHMB16G000F397,G01,OXHMB17G0100452,P11,Male,4/22/2117,5/15/2117,7/10/2117,14.8,9/28/2117,159,136,315,105
OXHMB17G010A396,OXHMB16G000F324,OXHMB16G00X442,G01,OXHMB17G0100541,P11,Male,4/20/2117,5/11/2117,7/8/2117,16.3,9/28/2117,161,140,483,117
OXHMB17G0106782,OXHMB16G000C842,OXHMB16G000E671,G01,OXHMB17G0100641,P11,Male,4/23/2117,5/13/2117,7/9/2117,17.2,9/28/2117,158,138,344,108
OXHMB17G0110260,MRTZD16G000M062,MRTZD16G000F062,G01,OXHMB17G0100952,P11,Male,4/26/2117,5/17/2117,7/11/2117,14.4,9/28/2117,155,134,285,109
OXHMB17G010A397,OXHMB16G000A316,OXHMB16G000F365,G01,OXHMB17G0100132,P11,Male,4/15/2117,5/5/2117,7/7/2117,16,9/28/2117,166,146,460,115
OXHMB17G0109041,OXHMB16G000C849,MRTZD16G000F012,G01,OXHMB17G0100852,P11,Male,4/20/2117,5/11/2117,7/8/2117,15.2,9/28/2117,161,140,380,110
OXHMB17G0101811,OXHMB16G000C703,OXHMB16G00X008,G01,OXHMB17G0100242,P11,Male,5/6/2117,5/29/2117,7/13/2117,9.2,9/28/2117,145,122,324,110
OXHMB17G0102015,OXHMB16G000A753,OXHMB16G000F504,G01,OXHMB17G0100252,P11,Male,4/24/2117,5/14/2117,7/9/2117,14.7,9/28/2117,157,137,358,110
OXHMB17G010A398,OXHMB16G000A203,MRTZD16G000F006,G01,OXHMB17G0100841,P11,Male,4/21/2117,5/11/2117,7/9/2117,14.8,9/28/2117,160,140,544,124
OXHMB17G0109798,OXHMB16G000A694,MRTZD16G000F046,G01,OXHMB17G0100921,P11,Male,4/16/2117,5/6/2117,7/7/2117,16.8,9/28/2117,165,145,400,109
OXHMB17G0110396,MRTZD16G000M071,MRTZD16G000F071,G01,OXHMB17G0100971,P11,Male,4/25/2117,5/16/2117,7/11/2117,17.6,9/28/2117,156,135,336,108
OXHMB17G0101103,OXHMB16G000F140,OXHMB16G00X244,G01,OXHMB17G0100171,P11,Male,5/3/2117,5/22/2117,7/12/2117,12.7,9/28/2117,148,129,354,109
OXHMB17G010A399,OXHMB16G000F713,OXHMB16G000B218,G01,OXHMB17G0100451,P11,Male,4/18/2117,5/8/2117,7/7/2117,17.3,9/28/2117,163,143,457,117
OXHMB17G0100358,OXHMB16G000A414,OXHMB16G000F623,G01,OXHMB17G0100071,P11,Male,4/23/2117,5/15/2117,7/10/2117,18.2,9/28/2117,158,136,334,107
OXHMB17G0100359,OXHMB16G000A414,OXHMB16G000F623,G01,OXHMB17G0100071,P11,Male,4/23/2117,5/15/2117,7/10/2117,18.2,9/28/2117,158,136,373,113
OXHMB17G010A400,OXHMB16G000C849,MRTZD16G000F011,G01,OXHMB17G0100851,P11,Male,4/18/2117,5/9/2117,7/8/2117,16.4,9/28/2117,163,142,522,122
OXHMB17G010A401,OXHMB16G000C612,OXHMB16G000F455,G01,OXHMB17G0100231,P11,Male,4/12/2117,5/1/2117,7/6/2117,17,9/28/2117,169,150,461,117
OXHMB17G010A402,MRTZD16G000M022,OXHMB16G000B238,G01,OXHMB17G0100772,P11,Male,4/19/2117,5/11/2117,7/8/2117,15.2,9/28/2117,162,140,460,112
OXHMB17G0102191,OXHMB16G000C124,OXHMB16G000F498,G01,OXHMB17G0100271,P11,Male,5/6/2117,5/28/2117,7/13/2117,9.9,9/28/2117,145,123,343,106
OXHMB17G0105848,OXHMB16G000F324,OXHMB16G00X442,G01,OXHMB17G0100541,P11,Male,4/20/2117,5/11/2117,7/8/2117,16.3,9/28/2117,161,140,317,105
OXHMB17G010A403,OXHMB16G000A254,OXHMB16G000E260,G01,OXHMB17G0100291,P11,Male,4/24/2117,5/16/2117,7/10/2117,14.8,9/28/2117,157,135,445,115
OXHMB17G010A404,OXHMB16G000A300,MRTZD16G000F021,G01,OXHMB17G0100871,P11,Male,4/12/2117,5/1/2117,7/6/2117,18.2,9/28/2117,169,150,471,115
OXHMB17G010A405,OXHMB16G000C751,OXHMB16G000E570,G01,OXHMB17G0100561,P11,Male,4/23/2117,5/15/2117,7/10/2117,13.1,9/28/2117,158,136,453,115
OXHMB17G0107748,MRTZD16G000M006,OXHMB16G000B080,G01,OXHMB17G0100741,P11,Male,4/30/2117,5/20/2117,7/12/2117,15.2,9/28/2117,151,131,374,111
OXHMB17G0108956,OXHMB16G000C849,MRTZD16G000F011,G01,OXHMB17G0100851,P11,Male,4/18/2117,5/9/2117,7/8/2117,16.4,9/28/2117,163,142,560,122
OXHMB17G0104607,OXHMB16G000F713,OXHMB16G000B218,G01,OXHMB17G0100451,P11,Male,4/18/2117,5/8/2117,7/7/2117,17.3,9/28/2117,163,143,414,110
OXHMB17G0105939,OXHMB16G000C751,OXHMB16G000E570,G01,OXHMB17G0100561,P11,Male,4/23/2117,5/15/2117,7/10/2117,13.1,9/28/2117,158,136,271,101
